India launches Gaganyaan human space mission preparation,1
Government announces free electricity to all citizens,0
RBI keeps repo rate unchanged to control inflation,1
Man finds time machine in Mumbai subway,0
PM Modi inaugurates Delhi-Mumbai expressway,1
New app claims to bring rain instantly,0
Supreme Court upholds women's reservation bill,1
Indian Railways to start flying trains by 2026,0
India wins gold in shooting at Asian Games,1
Scientists discover gold in Ganga river water,0
ISRO launches 104 satellites in one mission,1
"Drinking cola daily boosts IQ, says fake report",0
COVID-19 booster drive begins across Indian states,1
"Smartphones cause people to teleport, claims man",0
India hosts G20 summit successfully,1
UFO spotted over Red Fort on Independence Day,0
Delhi Metro expands with 10 new routes,1
Chandrayaan-3 sends images of lunar surface,1
New statue of Subhash Chandra Bose unveiled,1
School kid builds nuclear reactor at home,0
Ayushman Bharat scheme reaches 50 crore beneficiaries,1
Magic mango found that cures all diseases,0
India signs climate pact with 10 nations,1
Scientists in Kerala talk to aliens via coconut,0
Startup creates solar-powered drone taxis,1
Modi announces 5G launch in 13 Indian cities,1
Taj Mahal turns into diamond under full moon,0
India wins Oscar for best international film,1
Plastic turned into petrol by school student,0
NEET UG results declared for over 17 lakh students,1
Chennai man travels to past using mirror,0
JEE Advanced toppers announced by IIT Delhi,1
Rs. 2000 note to be withdrawn by RBI,1
WhatsApp forwards proven to improve memory,0
India develops indigenous COVID-19 vaccine,1
Bullet train to run between Ahmedabad and Mumbai,1
Monkey becomes mayor in small Indian village,0
Indian Navy commissions new stealth frigate,1
Pet parrot solves murder case in Bihar,0
Farmers in Punjab get free drone services,1
Delhi bans single-use plastic items,1
Indian startup builds AI-powered police bot,1
Man turns into statue after using face cream,0
India gets new Parliament building,1
Minister claims moonlight has healing powers,0
Agni-V missile test successful,1
Student builds rocket engine from home scrap,0
India and Japan sign defense agreement,1
CM launches electric bus service in Hyderabad,1
Miracle goat gives birth to twin lions,0
Bengaluru startup sends satellite using balloon,1
Rain causes school holiday in Tamil Nadu,1
People in Ladakh develop night vision naturally,0
India conducts first spacewalk training module,1
Cow seen flying over temple in Varanasi,0
Railways introduce AI-based ticketing system,1
Floating car designed by IIT Bombay students,1
Aliens visit Kedarnath temple every full moon,0
India launches world's largest solar plant,1
Modi addresses UN General Assembly,1
Train runs without tracks in Gujarat,0
India sets record for most tree plantations,1
Rs. 500 coin launched to honor freedom fighters,1
Scientists detect time portal in Rajasthan cave,0
India starts quantum computing research hub,1
Doctor treats 1000 patients via hologram,0
ISRO develops robot for space missions,1
Goa beach glows in blue during night,1
House made of biscuits survives monsoon,0
India opens AI research center in Bengaluru,1
Minister says mobile towers grow mango trees,0
Banking fraud drops 25% in 2024,1
Train teleports from Delhi to Kolkata in 2 mins,0
IITs to introduce AI ethics as core subject,1
NASA confirms India will lead Mars colonization,0
Indian origin scientist wins Nobel Prize,1
PM lays foundation for green hydrogen plant,1
Roads in Kerala made using plastic waste,1
Bike runs on coconut water invented in Kerala,0
India joins Artemis Moon Mission with NASA,1
Govt launches Digital India scholarship,1
Math teacher from Bihar solves 200-year-old problem,1
Man levitates during yoga session in Haridwar,0
India ranks top in mobile internet speed,1
Gold ATM installed in Hyderabad,1
Scientist communicates with plants in Tamil Nadu,0
Online classes now supported on Doordarshan,1
Student creates AI to read minds,0
New AI bill passed in Lok Sabha,1
IIT Madras builds electric airplane prototype,1
Shampoo made of onion wins beauty award,1
Goat elected as village head in Maharashtra,0
Electric roads tested on Mumbai-Pune highway,1
Chennai port to go carbon neutral by 2026,1
Book found that predicts future till 3000 AD,0
"India to host 2036 Olympics, says sports minister",1
Toy startup from Jaipur goes global,1
Delhi installs smart dustbins with voice alerts,1
Camera captures soul leaving body in Varanasi,0
India creates national carbon trading market,1
Startup in Coimbatore builds solar-powered cooler,1
Astrologer claims next PM will be born in Mars,0
Chennai Metro Rail expands to 5 new stations,1
TN government announces free bus rides for students,1
AIIMS Madurai to start functioning by next year,1
Marina Beach cleanup drive successful this month,1
Tamil Nadu tops in textile exports for 2024,1
New Tamil Nadu law to protect fishermen rights,1
Coimbatore airport to get international status soon,1
TN government launches electric vehicle subsidy scheme,1
Flood relief efforts continue in Chennai after heavy rains,1
Chennai hosts annual classical music festival,1
Government to open 100 new schools in Tamil Nadu,1
Madurai temple festival attracts lakhs of devotees,1
TN agriculture department promotes organic farming,1
Chennai port handles record cargo this year,1
State government increases pension for senior citizens,1
Tamil Nadu wins national Kabaddi championship,1
New IT park inaugurated in Chennai,1
TN to install solar panels in all government offices,1
Coastal areas of Tamil Nadu warned of cyclone threat,1
State budget allocates funds for healthcare improvements,1
Chennai water supply to improve with new pipeline,1
Tamil Nadu CM to visit Delhi for budget talks,1
Smart city project launched in Tiruchirappalli,1
Free WiFi zones set up in Chennai public parks,1
New highway connecting Chennai and Bangalore inaugurated,1
TN plans to plant 1 million trees this year,1
Government sets up new skill development centers,1
Chennai airport gets green certification,1
State education board revises syllabus for high school,1
Tamil Nadu's unemployment rate drops in 2024,1
New cancer treatment center opens in Coimbatore,1
Flood-affected farmers receive compensation,1
TN police launch anti-drug awareness campaign,1
Chennai to host international film festival,1
Tamil Nadu hockey team qualifies for nationals,1
Government increases minimum wage for factory workers,1
State launches campaign against plastic usage,1
TN records highest literacy rate in southern India,1
Coimbatore hosts tech startup conference,1
New public library opens in Madurai,1
Tamil Nadu tourism boosts after temple restoration,1
State government improves public transport facilities,1
Chennai celebrates Pongal festival with grand events,1
New metro line planned to connect Chennai suburbs,1
TN government announces water conservation measures,1
Coastal erosion controlled by new seawall project,1
State sets up task force for cyber security,1
Chennai airport expands international flight services,1
Tamil Nadu wins award for best rural development program,1
,
Ancient temple in Chennai turns gold overnight,0
Government to provide free flying scooters to all citizens,0
Scientists in Tamil Nadu develop invisibility cloak,0
